Baslik,Bellek,Disk.HDD,Disk.SSD,Ekran Boyutu,Fiyat,Foto,Islemci,Isletim Sistemi,Link,Marka,Model,Puan,Site
"Monster Abra A5 V19.2 i5-12500H 8 GB 500 GB SSD 4 GB RTX3050Ti 144Hz 15.6"" Dos Dizüstü Bilgisayar",8 GB,Yok,500 GB,"15,6 inç",21.699,https://n11scdn.akamaized.net/a1/602_857/16/58/44/18/IMG-1475170770920090342.png,Intel i5 12500H,FreeDos,https://www.n11.com/urun/monster-abra-a5-v192-i5-12500h-8-gb-500-gb-ssd-4-gb-rtx3050ti-144hz-156-dos-dizustu-bilgisayar-18715665?magaza=monster,Monster,Abra A5 V19.2,"0,0",N11
"Monster Abra A5 V19.3.6 i7-12700H 16 GB 1 TB SSD 4 GB RTX3050Ti 144Hz 15.6"" Dos Dizüstü Bilgisayar",16 GB,Yok,1 TB,"15,6 inç",24.999,https://n11scdn.akamaized.net/a1/602_857/04/93/77/14/IMG-6050831530932910506.png,Intel i7 12700H,FreeDos,https://www.n11.com/urun/monster-abra-a5-v1936-i7-12700h-16-gb-1-tb-ssd-4-gb-rtx3050ti-144hz-156-dos-dizustu-bilgisayar-18715666?magaza=monster,Monster,Abra A5 V19.3.6,"0,0",N11
"Monster Abra A7 V14.2 i5-12500H 8 GB 500 GB SSD 4 GB RTX3050Ti 144Hz 17.3"" Dos Dizüstü Bilgisayar",8 GB,Yok,500 GB,"17,3 inç",22.699,https://n11scdn.akamaized.net/a1/602_857/16/83/49/47/IMG-4777790052796160365.png,Intel i5 12500H,FreeDos,https://www.n11.com/urun/monster-abra-a7-v142-i5-12500h-8-gb-500-gb-ssd-4-gb-rtx3050ti-144hz-173-dos-dizustu-bilgisayar-18715671?magaza=monster,Monster,Abra A7 V14.2,"0,0",N11
"Monster Abra A5 V19.1 i5-12500H 8 GB 500 GB SSD 4 GB GTX1650 144Hz 15.6"" Dos Dizüstü Bilgisayar",8 GB,Yok,500 GB,"15,6 inç",18.699,https://n11scdn.akamaized.net/a1/602_857/11/89/72/51/IMG-1778348284931459631.png,Intel i5 12500H,FreeDos,https://www.n11.com/urun/monster-abra-a5-v191-i5-12500h-8-gb-500-gb-ssd-4-gb-gtx1650-144hz-156-dos-dizustu-bilgisayar-18715696?magaza=monster,Monster,Abra A5 V19.1,"0,0",N11
"Monster Semruk S7 V8.1.2 i9-11900K 128 GB 6 TB SSD 16 GB RTX3080 17.3"" W11P Dizüstü Bilgisayar",128 GB,Yok,6 TB,"17,3 inç",149.999,https://n11scdn.akamaized.net/a1/602_857/15/19/66/57/IMG-5692243469942865340.png,Intel i9 11900K,Windows 11 Pro,https://www.n11.com/urun/monster-semruk-s7-v812-i9-11900k-128-gb-6-tb-ssd-16-gb-rtx3080-173-w11p-dizustu-bilgisayar-1980731?magaza=monster,Monster,Semruk S7 V8.1.2,"0,0",N11
"Monster Abra A5 V19.2.7 i5-12500H 16 GB 500 GB SSD 4 GB RTX3050Ti 144Hz 15.6"" W11H Dizüstü Bilgisayar",16 GB,Yok,500 GB,"15,6 inç",24.099,https://n11scdn.akamaized.net/a1/602_857/16/58/44/18/IMG-1475170770920090342.png,Intel i5 12500H,Windows 11 Home,https://www.n11.com/urun/monster-abra-a5-v1927-i5-12500h-16-gb-500-gb-ssd-4-gb-rtx3050ti-144hz-156-w11h-dizustu-bilgisayar-18715621?magaza=monster,Monster,Abra A5 V19.2.7,"0,0",N11
"Monster Tulpar T7 V20.5.1 i7-12700H 16 GB 1 TB SSD 6 GB RTX3060 144Hz 17.3"" W11H Dizüstü Bilgisayar",16 GB,Yok,1 TB,"17,3 inç",35.199,https://n11scdn.akamaized.net/a1/602_857/07/76/92/41/IMG-5676556400127167202.png,Intel i7 12700H,Windows 11 Home,https://www.n11.com/urun/monster-tulpar-t7-v2051-i7-12700h-16-gb-1-tb-ssd-6-gb-rtx3060-144hz-173-w11h-dizustu-bilgisayar-18715711?magaza=monster,Monster,Tulpar T7 V20.5.1,"0,0",N11
"Monster Abra A5 V19.3.5 i7-12700H 16 GB 500 GB SSD 4 GB RTX3050Ti 144Hz 15.6"" Dos Dizüstü Bilgisayar",16 GB,Yok,500 GB,"15,6 inç",23.799,https://n11scdn.akamaized.net/a1/602_857/16/58/44/18/IMG-1475170770920090342.png,Intel i7 12700H,FreeDos,https://www.n11.com/urun/monster-abra-a5-v1935-i7-12700h-16-gb-500-gb-ssd-4-gb-rtx3050ti-144hz-156-dos-dizustu-bilgisayar-18715624?magaza=monster,Monster,Abra A5 V19.3.5,"0,0",N11
"Monster Abra A5 V19.2.6 i5-12500H 16 GB 1 TB SSD 4 GB RTX3050Ti 144Hz 15.6"" Dos Dizüstü Bilgisayar",16 GB,Yok,1 TB,"15,6 inç",23.699,https://n11scdn.akamaized.net/a1/602_857/11/89/72/51/IMG-1778348284931459631.png,Intel i5 12500H,FreeDos,https://www.n11.com/urun/monster-abra-a5-v1926-i5-12500h-16-gb-1-tb-ssd-4-gb-rtx3050ti-144hz-156-dos-dizustu-bilgisayar-18715664?magaza=monster,Monster,Abra A5 V19.2.6,"0,0",N11
"Monster Abra A7 V14.1.7 i5-12500H 16 GB 500 GB SSD 4 GB GTX1650 144Hz 17.3"" W11H Dizüstü Bilgisayar",16 GB,Yok,500 GB,"17,3 inç",21.499,https://n11scdn.akamaized.net/a1/602_857/16/83/49/47/IMG-4777790052796160365.png,Intel i5 12500H,Windows 11 Home,https://www.n11.com/urun/monster-abra-a7-v1417-i5-12500h-16-gb-500-gb-ssd-4-gb-gtx1650-144hz-173-w11h-dizustu-bilgisayar-18715697?magaza=monster,Monster,Abra A7 V14.1.7,"0,0",N11
